Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
Canada 2,36991981,16284235,14978941
A0A,44930,26102,19752
A0B,19287,13265,9100
A0C,11972,8069,5610
A0E,21209,12623,9741
A0G,33316,21177,14992
A0H,16743,10841,7605
A0J,7497,4696,3430
A0K,24659,14914,11017
A0L,7503,3871,3262
A0M,5468,2958,2540
A0N,12387,7581,5977
A0P,13058,5176,4661
A0R,2661,1401,1056
A1A,30086,13520,12671
A1B,20906,10326,9079
A1C,12713,7562,6641
A1E,26858,14123,12833
A1G,5808,2741,2544
A1H,6469,2530,2439
A1K,12348,4968,4670
A1L,22959,9332,8814
A1M,8405,3354,3167
A1N,22478,10686,9932
A1S,6103,2557,2433
A1V,11890,5429,5073
A1W,11179,4668,4431
A1X,15945,6676,6260
A1Y,5436,2745,2429
A2A,9277,4406,4091
A2B,4739,2293,2099
A2H,25290,12658,11325
A2N,8613,4349,4052
A2V,7447,3387,3089
A5A,8436,4161,3575
A8A,6475,4039,2863
B0C,2748,1808,1235
B0E,25919,14977,11613
B0H,9796,5595,4410
B0J,41032,23424,18777
B0K,35141,20031,15903
B0L,2335,1435,1082
B0M,17448,10120,7844
B0N,40484,19211,17411
B0P,41544,19438,17644
B0R,6090,3802,2819
B0S,17873,10114,8445
B0T,14729,9297,6954
B0V,5658,3152,2752
B0W,25890,13895,11887
B1A,14988,7320,6764
B1B,1237,673,574
B1C,1698,914,784
B1E,1533,754,688
B1G,1796,925,848
B1H,9146,4580,4271
B1J,1148,893,573
B1K,3336,2100,1504
B1L,4952,2140,2053
B1M,1271,537,515
B1N,5605,2670,2487
B1P,14704,7580,6982
B1R,4478,1967,1892
B1S,8826,3977,3786
B1T,400,332,199
B1V,6088,2928,2733
B1W,3521,1138,1081
B1X,921,607,413
B1Y,5941,2906,2633
B2A,7711,3725,3461
B2C,262,174,132
B2E,54,129,31
B2G,15318,7934,6713
B2H,15332,7692,7050
B2J,67,83,34
B2N,20816,10374,9898
B2R,2553,1058,1029
B2S,8011,3261,3159
B2T,17780,6811,6610
B2V,12252,4734,4669
B2W,33145,14027,13762
B2X,12038,5070,4925
B2Y,15420,8312,7916
B2Z,8335,3378,3256
B3A,21857,11978,11493
B3B,1688,575,568
B3E,7085,2981,2883
B3G,11275,4519,4430
B3H,20788,11609,10154
B3J,9086,6130,5256
B3K,23207,12798,12000
B3L,18409,8823,8411
B3M,37555,17491,16978
B3N,14943,7389,7028
B3P,11389,4881,4706
B3R,9500,4323,4153
B3S,13818,6431,6285
