FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
A0A,40260,1850812000,36776,45971
A0B,17610,785194000,35669,44587
A0C,10940,429785000,31428,39285
A0E,19340,836531000,34602,43253
A0G,30770,1180595000,30694,38368
A0H,15380,570407000,29669,37087
A0J,6950,290499000,33438,41798
A0K,22500,964101000,34278,42848
A0L,6800,309349000,36393,45492
A0M,5200,224915000,34601,43252
A0N,12410,439719000,28345,35432
A0P,9950,539019000,43337,54172
A0R,2000,168605000,67441,84302
A1A,23950,1616313000,53988,67486
A1B,16830,912244000,43362,54203
A1C,10570,577862000,43736,54670
A1E,22380,1153168000,41220,51526
A1G,4730,246775000,41737,52172
A1H,4750,407919000,68701,85877
A1K,10140,685647000,54094,67618
A1L,17140,1128596000,52676,65845
A1M,6770,475889000,56234,70293
A1N,19240,1049806000,43650,54563
A1S,5570,292187000,41965,52457
A1V,9770,535615000,43857,54822
A1W,9330,564973000,48443,60554
A1X,12600,667847000,42402,53003
A1Y,4690,201759000,34414,43018
A2A,7960,404825000,40685,50857
A2B,4080,155545000,30498,38123
A2H,21610,1043247000,38620,48276
A2N,7590,314456000,33144,41430
A2V,5920,506787000,68484,85605
A5A,7140,351635000,39398,49248
A8A,6020,255376000,33936,42421
Total,438870,22138004000,40354,50443
C0A,39770,1960892000,39444,49305
C0B,25720,1241760000,38623,48279
C1A,22470,1061497000,37792,47240
C1B,11460,680036000,47471,59339
C1C,4340,204658000,37724,47156
C1E,10270,530663000,41336,51671
C1N,15100,695554000,36850,46063
Total,129130,6375059000,39495,49369
B0C,2300,111141000,38657,48322
B0E,22040,933511000,33884,42355
B0H,8370,365828000,34965,43707
B0J,34260,1679406000,39215,49019
B0K,30290,1315491000,34743,43429
B0L,2080,79134000,30436,38045
B0M,14290,583995000,32693,40867
B0N,32880,1475483000,35899,44874
B0P,34020,1578580000,37120,46401
B0R,5120,215496000,33671,42089
B0S,15330,594696000,31033,38792
B0T,12940,538853000,33313,41642
B0V,5070,204223000,32224,40280
B0W,24060,1106755000,36799,45999
B1A,12600,492719000,31283,39104
B1B,1100,48723000,35434,44293
B1C,1510,80674000,42740,53426
B1E,1360,51923000,30542,38178
B1G,1580,60357000,30560,38200
B1H,7970,313642000,31481,39352
B1J,1000,59691000,47752,59691
B1K,2750,145646000,42369,52962
B1L,4140,227330000,43928,54910
B1M,1070,50966000,38104,47631
B1N,4770,170494000,28593,35742
B1P,13280,513767000,30949,38687
B1R,3630,184765000,40719,50899
B1S,6980,330050000,37828,47285
B1T,320,14348000,35869,44837
B1V,5020,199534000,31797,39747
B1W,2260,15782000,5586,6983
B1X,740,41448000,44808,56010
B1Y,5180,242125000,37393,46742
B2A,6600,268281000,32518,40648
